iter	Passed	Remaining
372	5350	1821
373	5366	1807
374	5380	1793
375	5393	1778
376	5406	1763
377	5419	1749
378	5433	1734
379	5448	1720
380	5462	1706
381	5475	1691
382	5489	1676
383	5502	1662
384	5515	1647
385	5529	1633
386	5541	1618
387	5557	1604
388	5569	1589
389	5581	1574
390	5594	1559
391	5606	1544
392	5619	1530
393	5633	1515
394	5647	1501
395	5662	1487
396	5678	1473
397	5695	1459
398	5707	1444
399	5722	1430
400	5735	1415
401	5751	1401
402	5769	1388
403	5784	1374
404	5799	1360
405	5813	1345
406	5826	1331
407	5840	1316
408	5854	1302
409	5865	1287
410	5877	1272
411	5892	1258
412	5908	1244
413	5921	1230
414	5936	1215
415	5949	1201
416	5964	1187
417	5975	1172
418	5984	1156
419	5997	1142
420	6011	1128
421	6024	1113
422	6037	1099
423	6050	1084
424	6065	1070
425	6080	1056
426	6096	1042
427	6113	1028
428	6128	1014
429	6142	999
430	6158	985
431	6171	971
432	6182	956
433	6196	942
434	6209	927
435	6223	913
436	6237	899
437	6247	884
438	6264	870
439	6279	856
440	6293	841
441	6307	827
442	6320	813
443	6335	799
444	6349	784
445	6369	771
446	6381	756
447	6396	742
448	6409	728
449	6423	713
450	6436	699
451	6450	685
452	6464	670
453	6479	656
454	6493	642
455	6507	627
456	6517	613
457	6531	598
458	6544	584
459	6558	570
460	6573	556
461	6587	541
462	6602	527
463	6615	513
464	6630	499
465	6643	484
466	6657	470
467	6673	456
468	6687	442
469	6700	427
470	6713	413
471	6726	399
472	6740	384
473	6754	370
474	6768	356
475	6782	341
476	6796	327
477	6806	313
478	6818	298
479	6831	284
480	6844	270
481	6859	256
482	6873	241
483	6888	227
484	6900	213
485	6917	199
486	6931	185
487	6946	170
488	6959	156
489	6974	142
490	6988	128
491	7002	113
492	7016	99
493	7030	85
494	7043	71
495	7058	56
496	7074	42
497	7089	28
498	7103	14
499	7120	0
