iter	RMSE
315	9312.563583
316	9303.841444
317	9272.098179
318	9226.551314
319	9196.929179
320	9167.554989
321	9166.253321
322	9147.419901
323	9146.325989
324	9131.106715
325	9110.294788
326	9079.075322
327	9063.894586
328	9025.923371
329	9009.629125
330	9004.335856
331	9002.288418
332	8995.032167
333	8980.573504
334	8944.088391
335	8902.544983
336	8887.903791
337	8865.800805
338	8842.261152
339	8836.300979
340	8828.580502
341	8781.779378
342	8759.072436
343	8754.190141
344	8724.279944
345	8718.604586
346	8713.661607
347	8685.950364
348	8682.602087
349	8658.231834
350	8634.806147
351	8610.047138
352	8594.650963
353	8571.88111
354	8555.523025
355	8540.735375
356	8539.170721
357	8503.714921
358	8490.004265
359	8480.571733
360	8463.49669
361	8446.916698
362	8440.018548
363	8423.219402
364	8415.422279
365	8399.99504
366	8398.890766
367	8385.590835
368	8359.340692
369	8343.997398
370	8327.09898
371	8304.112548
372	8293.240836
373	8276.385087
374	8268.175913
375	8262.429284
376	8231.865342
377	8202.760005
378	8181.240699
379	8156.76817
380	8153.898922
381	8148.486936
382	8142.138215
383	8136.577234
384	8132.79942
385	8104.958147
386	8078.947049
387	8073.501329
388	8072.528341
389	8053.40022
390	8043.770235
391	8043.484083
392	8040.196797
393	8022.045431
394	8016.960652
395	8006.378038
396	7990.104182
397	7964.483582
398	7950.839331
399	7922.747586
400	7916.058171
401	7890.600542
402	7877.809323
403	7852.977651
404	7835.473482
405	7819.199515
406	7814.200248
407	7792.678147
408	7772.333069
409	7769.071653
410	7767.539908
411	7740.184492
412	7730.291592
413	7724.494844
414	7716.950855
415	7705.503072
416	7692.244541
417	7683.809119
418	7677.878962
419	7672.783105
420	7657.955349
421	7657.506213
422	7634.608903
423	7628.668033
424	7614.324223
425	7603.011747
426	7586.457332
427	7579.283665
428	7577.509159
429	7560.254656
430	7545.85575
431	7545.047173
432	7539.032243
433	7526.941425
434	7513.167701
435	7478.002182
436	7458.794297
437	7457.938747
438	7441.042581
439	7421.154589
440	7417.735442
441	7414.71312
442	7408.26983
443	7400.475969
444	7391.098969
445	7379.281003
446	7368.399503
447	7349.503673
448	7328.348976
449	7319.975668
450	7306.804501
451	7298.081548
452	7279.058334
453	7276.144373
454	7260.151679
455	7251.610419
456	7249.385357
457	7242.452154
458	7240.234299
459	7225.267851
460	7222.964566
461	7196.741592
462	7180.463824
463	7173.398339
464	7170.986813
465	7147.836902
466	7131.693483
467	7113.693811
468	7100.426066
469	7070.987764
470	7069.533067
471	7062.895145
472	7043.955578
473	7035.300723
474	7014.525221
475	7010.053881
476	6983.105142
477	6980.551588
478	6976.515564
479	6944.579532
480	6931.899496
481	6929.528463
482	6912.458875
483	6905.605607
484	6884.10688
485	6863.889726
486	6860.856921
487	6849.829736
488	6839.650972
489	6834.749613
490	6833.343359
491	6832.179952
492	6827.105941
493	6821.069242
494	6817.530569
495	6805.745566
496	6798.314687
497	6786.500713
498	6772.332022
499	6770.161056
