iter	Logloss
190	0.437328861
191	0.4365759538
192	0.4362681121
193	0.4358883512
194	0.4356108567
195	0.4352796032
196	0.4351626642
197	0.4347626584
198	0.4342297985
199	0.4337801628
200	0.4334258983
201	0.4329304813
202	0.4324953978
203	0.4320817619
204	0.4318033854
205	0.4316847226
206	0.4313973262
207	0.4308107473
208	0.4305109234
209	0.4299865622
210	0.4293728031
211	0.4291820207
212	0.4286436685
213	0.4283226777
214	0.4279903819
215	0.4273932195
216	0.427007766
217	0.4266003037
218	0.4258696858
219	0.4254023309
220	0.424967047
221	0.4242488166
222	0.4240434418
223	0.4238375058
224	0.4232790291
225	0.4231592037
226	0.422847714
227	0.4225465671
228	0.4223195043
229	0.4217328853
230	0.4214935954
231	0.4211027299
232	0.420564017
233	0.4202115966
234	0.4197511369
235	0.4189434684
236	0.4188059639
237	0.4184231963
238	0.4180686913
239	0.4178258736
240	0.4176073898
241	0.4173425634
242	0.4170643473
243	0.4169486511
244	0.4165702131
245	0.4160428854
246	0.4158644903
247	0.4157772572
248	0.4153093009
249	0.4149265734
250	0.4147355103
251	0.4144133569
252	0.4139439575
253	0.4136419688
254	0.4132691833
255	0.4129245
256	0.4125388861
257	0.4117782016
258	0.4113012655
259	0.4109898559
260	0.4108787699
261	0.4104114551
262	0.4096852871
263	0.4095463795
264	0.4090333234
265	0.4087549069
266	0.4084261789
267	0.4081157315
268	0.4078492213
269	0.4074306544
270	0.4071823847
271	0.4067990157
272	0.4065136238
273	0.4061787222
274	0.4060392132
275	0.4056011632
276	0.405345036
277	0.4048968837
278	0.4045598173
279	0.4044379875
280	0.4041669874
281	0.4039280984
282	0.4037648168
283	0.4035978471
284	0.4032774175
285	0.4029694155
286	0.4027308873
287	0.4022773229
288	0.4021323619
289	0.4018802837
290	0.4015822638
291	0.4013839847
292	0.4010247492
293	0.4007974058
294	0.4003857342
295	0.4002279848
296	0.400030708
297	0.3996924389
298	0.3995019371
299	0.3993431054
300	0.3990095267
301	0.3988752293
302	0.398714754
303	0.3984421503
304	0.3982645971
305	0.3980526077
306	0.3977580755
307	0.3974930085
308	0.397250712
309	0.3972392867
310	0.3970074934
311	0.3968571204
312	0.3966430865
313	0.3963898858
314	0.3958670079
315	0.3954911757
316	0.394953505
317	0.3947662905
318	0.3945465238
319	0.3941482018
320	0.3938678209
321	0.3936697423
322	0.3930624375
323	0.3928120029
324	0.3926050647
325	0.3922917709
326	0.3919895416
327	0.3917543007
328	0.3914772873
329	0.3911923764
330	0.391020596
331	0.3907736091
332	0.3905077003
333	0.3902809982
334	0.3902187404
335	0.3899516289
336	0.3898214606
337	0.3895492178
338	0.3892793001
339	0.3891404326
340	0.3887525336
341	0.3885975103
342	0.3884196364
343	0.3879989048
344	0.3878086034
345	0.3874745035
346	0.3873832615
347	0.3872883714
348	0.3869351492
349	0.3866521225
350	0.3863255192
351	0.3861572667
352	0.3854937574
353	0.385224882
354	0.3851647488
355	0.3849179623
356	0.3847237723
357	0.3845570431
358	0.3841994513
359	0.3839641703
360	0.3836767338
361	0.3835278841
362	0.3834283036
363	0.3833274002
364	0.3831129654
365	0.3829718128
366	0.3826823718
367	0.3824288504
368	0.3821585719
369	0.3819414111
370	0.3813771215
371	0.3812275503
372	0.3808701188
373	0.3807069976
374	0.3806021253
375	0.3800884679
376	0.3798964828
377	0.3796246007
378	0.3793953731
379	0.3791011616
380	0.3786988708
381	0.3785177096
382	0.3781417571
383	0.3779526985
384	0.3777604728
385	0.3775074325
386	0.3772520269
387	0.3770825316
388	0.3766626418
389	0.3765984997
390	0.3764298463
391	0.37624187
392	0.3759955646
393	0.3758238644
394	0.3757461723
395	0.3756762976
396	0.3756196121
397	0.3752326752
398	0.3751727425
399	0.3749474837
400	0.3746992941
401	0.3742697429
402	0.3737538806
403	0.3735748842
404	0.3733204408
405	0.3731546737
406	0.3730023765
407	0.3727759551
408	0.3725959565
409	0.3725098859
410	0.3721029848
411	0.3717662792
412	0.3714944774
413	0.3713629461
414	0.3711841101
415	0.3710245568
416	0.3708055919
417	0.370567184
418	0.3702615071
419	0.3700740921
420	0.3699796028
421	0.3698989843
422	0.3697065983
423	0.3693440354
424	0.3692717153
425	0.368778463
426	0.3684750712
427	0.3683511568
428	0.3682186233
429	0.3680741434
430	0.367920443
431	0.367719919
432	0.3675029986
433	0.3673229199
434	0.3672340832
435	0.3671512998
436	0.3670238977
437	0.3670047754
438	0.3664656215
439	0.3661552542
440	0.3659829927
441	0.3658687397
442	0.3657463888
443	0.3656677747
444	0.3654284047
445	0.3652276401
446	0.3651502688
447	0.3650458776
448	0.3648913354
449	0.3648171311
450	0.3647023168
451	0.3644007691
452	0.36416184
453	0.3639011026
454	0.3637229882
455	0.3635213817
456	0.3634112178
457	0.3633108756
458	0.3632019945
459	0.3629754929
460	0.3628602377
461	0.3626954328
462	0.3621605283
463	0.3620896513
464	0.3619226415
465	0.3618639515
466	0.3616610222
467	0.3615032728
468	0.3613056753
469	0.3612433372
470	0.3611395875
471	0.3610628175
472	0.3608746007
473	0.3607791093
474	0.3606626915
475	0.3604923543
476	0.360441201
477	0.36037301
478	0.3601518803
479	0.3599776144
480	0.3595666644
481	0.3590257867
482	0.358801009
483	0.3585564274
484	0.3584744458
485	0.3583900589
486	0.358312407
487	0.3582055303
488	0.3581098384
489	0.3579209
490	0.3577591418
491	0.3574767565
492	0.3573115507
493	0.3572098054
494	0.3570464837
495	0.3569600523
496	0.3567417289
497	0.356676304
498	0.356360204
499	0.3559397129
500	0.3557979189
501	0.3556491495
502	0.3555758672
503	0.3555377428
504	0.3549731726
505	0.3548174678
506	0.3545973804
507	0.3543970568
508	0.3541472236
509	0.3538739785
510	0.3535469744
511	0.3534667167
512	0.3531330979
513	0.3530640651
514	0.3525209424
515	0.3523448725
516	0.3522079693
517	0.3518442038
518	0.351677635
519	0.3516494926
520	0.3514409508
521	0.3512646404
522	0.3511076528
523	0.3508578997
524	0.3507730719
525	0.3505444456
526	0.3504264243
527	0.3503343404
528	0.3501959539
529	0.3499532164
530	0.349895248
531	0.3494664184
532	0.3492742329
533	0.3490261635
534	0.3489717631
535	0.3489070598
536	0.3487370433
537	0.3486403492
538	0.348582461
539	0.3485228089
540	0.3484243509
541	0.3481053244
542	0.3479622075
543	0.3479075264
544	0.3477227573
545	0.3474940508
546	0.3473393483
547	0.3472934466
548	0.3471951489
549	0.3470090168
550	0.3469401843
551	0.3468357932
552	0.3467904127
553	0.346610815
554	0.3464747938
555	0.3460017463
556	0.3459043305
557	0.3458089994
558	0.3455450951
559	0.3454852024
560	0.3452216588
561	0.345152185
562	0.3448665124
563	0.3448264637
564	0.3445359003
565	0.3443974337
566	0.3442328693
567	0.3440468974
568	0.343867861
569	0.3436816086
570	0.3436367492
571	0.3432828455
572	0.3431289447
573	0.3430051907
574	0.3429336322
575	0.3428665236
576	0.3427981723
577	0.3427277363
578	0.3426797099
579	0.3426312827
580	0.3425072481
581	0.3423376725
582	0.3422449071
583	0.3421561506
584	0.342071002
585	0.3420014881
586	0.3416819405
587	0.3415345341
588	0.3413748605
589	0.341298331
